,ra,dec,psfmag_i,mjd_i,run
24.89207485,14.66205239,0.7333971,21.27383,5.36702928E4,5781
21.49492828,14.66308754,0.7348893,21.479712,5.36702928E4,5781
25.67015151,14.65759846,0.73328591,12.510205,5.36732609E4,5792
24.96370186,14.66210741,0.73339357,21.414532,5.36732609E4,5792
25.65306719,14.65760205,0.73328967,12.500083,5.36752577E4,5800
25.05003085,14.66206112,0.73335387,21.200539,5.36752577E4,5800
16.90536429,14.65646041,0.74308629,21.360912,5.36752577E4,5800
25.66691523,14.65759471,0.73328821,12.507027,5.36772789E4,5813
25.71944141,14.65758723,0.73327539,15.068538,0,206
29.44469902,14.66812377,0.7390446,20.719784,0,206
36.57594369,14.6500888,0.74223828,20.459654,0,206
25.71797352,14.65758046,0.73327825,13.753023,5.10753398E4,94
36.52640171,14.65010234,0.74223574,20.385307,5.10753398E4,94
29.58999107,14.66816108,0.73901663,20.553049,5.10753398E4,94
25.71498527,14.65756969,0.73328303,12.512686,5.21963589E4,2650
29.40436415,14.66811046,0.73902754,20.511784,5.21963589E4,2650
36.58286502,14.65008661,0.74223731,20.430908,5.21963589E4,2650
29.26712119,14.66807676,0.73906744,20.728003,5.21973531E4,2662
36.54628289,14.65009072,0.7422092,20.455532,5.21973531E4,2662
25.8942807,14.65729598,0.73333467,18.358561,5.22073254E4,2677
26.24636547,14.65706039,0.73332813,20.266003,5.22073254E4,2677
36.62265933,14.65007924,0.74225478,20.615484,5.22073254E4,2677
29.425298,14.66811651,0.73902915,20.907703,5.22073259E4,2677
25.87864718,14.65750275,0.73325912,12.513259,5.22252034E4,2708
36.61900884,14.65006925,0.74220573,20.440468,5.22252034E4,2708
29.52240283,14.66814169,0.73901262,20.630136,5.22252034E4,2708
29.46020112,14.66812454,0.73901475,20.920523,5.22312394E4,2728
36.54267223,14.65009871,0.7422402,20.553465,5.22312394E4,2728
25.72962081,14.65759071,0.73327114,12.525197,5.22532254E4,2768
29.66730031,14.66818439,0.73903062,20.545237,5.22532254E4,2768
36.59793511,14.65007648,0.74221125,20.311573,5.22532254E4,2768
41.11863086,14.64885765,0.74251541,21.44713,5.22532254E4,2768
29.59416625,14.66816074,0.73900418,20.587879,5.25573473E4,3384
36.57112011,14.65008796,0.74222842,20.450111,5.25573473E4,3384
25.85001451,14.65756756,0.73324392,12.514335,5.25782433E4,3437
36.51811629,14.65009833,0.74220738,20.42856,5.25782433E4,3437
29.40176231,14.66810915,0.73902275,20.667131,5.25782433E4,3437
36.58360933,14.65008266,0.74222068,20.441505,5.29083219E4,4128
29.56133795,14.66815368,0.73902171,20.726955,5.29083219E4,4128
26.37452622,14.65722341,0.73322019,15.699897,5.29342539E4,4198
29.4421307,14.66812282,0.73904268,20.438108,5.29342539E4,4198
36.44888941,14.65011335,0.74218627,20.242348,5.29342539E4,4198
29.5005463,14.66814025,0.73905195,20.721701,5.29362496E4,4207
36.46974113,14.65011457,0.74221841,20.438242,5.29362496E4,4207
36.53293602,14.65010036,0.7422352,20.41283,5.32703136E4,4849
29.49270434,14.66813528,0.73902841,20.682026,5.32703136E4,4849
36.51752363,14.6501085,0.74225174,20.529768,5.32723636E4,4858
29.64272332,14.66817944,0.73904707,20.808619,5.32723636E4,4858
29.23681889,14.66806548,0.73904345,21.089014,5.32863325E4,4868
36.76246478,14.65003695,0.74224388,20.728111,5.32863325E4,4868
36.77790705,14.65003932,0.74227373,20.338579,5.3288291E4,4874
29.65029301,14.66817712,0.73900972,20.566925,5.3288291E4,4874
36.53288044,14.65009988,0.74223301,20.33201,5.32943386E4,4895
29.48712903,14.66813727,0.73905858,20.635981,5.32943386E4,4895
29.57715742,14.66816191,0.739054,20.432003,5.32962855E4,4899
36.4599139,14.65011113,0.74219045,20.200794,5.32962855E4,4899
25.720005,14.65759785,0.73327143,14.103274,5.32983352E4,4905
29.53706422,14.66814587,0.73901324,20.784115,5.32983352E4,4905
36.75339446,14.65004795,0.7422809,20.631987,5.32983352E4,4905
36.60904541,14.65008375,0.74225758,20.5233,5.33022865E4,4917
29.51230831,14.66814299,0.73904725,20.88336,5.33022865E4,4917
25.79802757,14.65756789,0.73325915,14.261664,5.33122422E4,4927
25.83421832,14.65730099,0.73335064,12.965427,5.33122422E4,4927
29.43540809,14.66811873,0.73902413,20.343769,5.33122422E4,4927
36.49707273,14.65009887,0.74218281,20.408697,5.33122422E4,4927
29.67008633,14.66818449,0.73902497,20.453959,5.33142435E4,4933
36.54152114,14.65009302,0.74221341,20.388453,5.33142435E4,4933
40.94538513,14.64890683,0.7425147,21.475555,5.33142435E4,4933
25.82722356,14.65758837,0.73324318,12.569261,5.36163475E4,5566
36.63861208,14.65006219,0.74219902,20.363214,5.36163475E4,5566
29.36898217,14.66810312,0.73904908,20.584044,5.36163479E4,5566
36.57214954,14.65009721,0.74227046,20.45368,5.36263241E4,5603
29.27175829,14.66807589,0.73904883,20.877119,5.36263241E4,5603
26.75116457,14.65736436,0.73305216,18.180712,5.36283091E4,5610
36.43429379,14.65011043,0.74215408,20.345896,5.36283091E4,5610
29.40421916,14.6681152,0.73906825,20.613831,5.36283091E4,5610
36.60843981,14.65007389,0.74221307,20.615683,5.36353174E4,5622
25.68850321,14.65758237,0.73328627,12.50305,5.36802654E4,5823
16.94757629,14.65644779,0.74308965,21.334572,5.36802654E4,5823
24.67422324,14.66203831,0.7334561,21.364582,5.36932676E4,5878
16.95559217,14.65643697,0.74308058,21.343903,5.36932676E4,5878
25.63371879,14.65757529,0.733305,12.523888,5.3698265E4,5898
24.9590191,14.66210072,0.7333928,21.379889,5.3698265E4,5898
17.00189769,14.65644827,0.74311315,21.444124,5.3698265E4,5898
25.27982519,14.66208659,0.73329494,21.378885,5.37042509E4,5918
25.63898074,14.65759196,0.73329744,12.521947,5.39893466E4,6314
25.03719357,14.65857279,0.73319322,20.765268,5.39893466E4,6314
25.50625564,14.65763759,0.73332032,12.488536,5.39953615E4,6362
25.62272234,14.65751871,0.73332902,17.511154,5.39953615E4,6362
25.08786219,14.66211354,0.73335933,21.448097,5.39953615E4,6362
